Compiling 18 files with Solc 0.8.26
Solc 0.8.26 finished in 9.65s
Compiler run successful!
| Contract                               | Size (B) | Margin (B) |
|----------------------------------------|----------|------------|
| ActionsFixture                         |      262 |     24,314 |
| ActionsIntegrationFixture              |      647 |     23,929 |
| Address                                |       85 |     24,491 |
| BeaconProxy                            |      415 |     24,161 |
| BitmapLib                              |       85 |     24,491 |
| CalldataExtractor                      |    1,269 |     23,307 |
| Core                                   |       85 |     24,491 |
| Defender                               |       85 |     24,491 |
| DefenderDeploy                         |       85 |     24,491 |
| DoubleEndedQueue                       |    7,392 |     17,184 |
| ECDSA                                  |       85 |     24,491 |
| ERC165Checker                          |       85 |     24,491 |
| ERC1967Proxy                           |      212 |     24,364 |
| ERC1967Utils                           |       85 |     24,491 |
| EnumerableMap                          |       85 |     24,491 |
| EnumerableSet                          |       85 |     24,491 |
| FeeCollector                           |      699 |     23,877 |
| FixedPointMathLib                      |       85 |     24,491 |
| HugeUint                               |    3,227 |     21,349 |
| HugeUintHandler                        |    2,409 |     22,167 |
| InitializableReentrancyGuardHandler    |      756 |     23,820 |
| LibBit                                 |       85 |     24,491 |
| LibBitmap                              |       85 |     24,491 |
| LiquidationRewardsManager              |    4,633 |     19,943 |
| Math                                   |       85 |     24,491 |
| MessageHashUtils                       |       85 |     24,491 |
| MockChainlinkOnChain                   |    2,541 |     22,035 |
| MockERC20                              |    7,455 |     17,121 |
| MockERC721                             |    7,959 |     16,617 |
| MockLiquidationRewardsManager          |    4,768 |     19,808 |
| MockOracleMiddleware                   |    7,321 |     17,255 |
| MockPyth                               |    3,721 |     20,855 |
| MockRebalancer                         |    2,319 |     22,257 |
| MockWstEthOracleMiddleware             |   17,357 |      7,219 |
| MockWstEthOracleMiddlewareWithRedstone |   23,231 |      1,345 |
| NumericArrayLib                        |       85 |     24,491 |
| OracleMiddleware                       |   16,033 |      8,543 |
| OracleMiddlewareWithRedstone           |   21,875 |      2,701 |
| OwnershipCallbackHandler               |      843 |     23,733 |
| Permit2TokenBitfield                   |       85 |     24,491 |
| Permit2TokenBitfieldHandler            |      420 |     24,156 |
| PrimaryProdDataServiceConsumerBase     |    3,795 |     20,781 |
| ProxyAdmin                             |    1,935 |     22,641 |
| PythErrors                             |       85 |     24,491 |
| PythStructs                            |       62 |     24,514 |
| Rebalancer                             |   16,204 |      8,372 |
| RebaseHandler                          |      545 |     24,031 |
| RedstoneConstants                      |       62 |     24,514 |
| RedstoneDefaultsLib                    |       85 |     24,491 |
| SafeCast                               |       85 |     24,491 |
| SafeERC20                              |       85 |     24,491 |
| SafeTransferLib                        |       85 |     24,491 |
| Sdex                                   |    7,429 |     17,147 |
| ShortStrings                           |       85 |     24,491 |
| SigUtils                               |    1,239 |     23,337 |
| SignatureLib                           |       85 |     24,491 |
| SignedMath                             |       85 |     24,491 |
| SignedMathHandler                      |    1,436 |     23,140 |
| StdStyle                               |       85 |     24,491 |
| StorageSlot                            |       85 |     24,491 |
| Strings                                |       85 |     24,491 |
| TickMath                               |    3,371 |     21,205 |
| TickMathHandler                        |    1,309 |     23,267 |
| TransparentUpgradeableProxy            |    2,009 |     22,567 |
| UnsafeUpgrades                         |       85 |     24,491 |
| UpgradeableBeacon                      |    1,256 |     23,320 |
| Upgrades                               |       85 |     24,491 |
| Usdn                                   |   13,859 |     10,717 |
| UsdnProtocolActionsLongLibrary         |   23,741 |        835 |
| UsdnProtocolActionsUtilsLibrary        |   10,886 |     13,690 |
| UsdnProtocolActionsVaultLibrary        |   21,474 |      3,102 |
| UsdnProtocolConstantsLibrary           |       85 |     24,491 |
| UsdnProtocolCoreLibrary                |   18,321 |      6,255 |
| UsdnProtocolFallback                   |   18,796 |      5,780 |
| UsdnProtocolImpl                       |   24,214 |        362 |
| UsdnProtocolImplV2                     |   24,695 |       -119 |
| UsdnProtocolLongLibrary                |   21,622 |      2,954 |
| UsdnProtocolUtilsLibrary               |       85 |     24,491 |
| UsdnProtocolVaultLibrary               |    4,112 |     20,464 |
| Utils                                  |       85 |     24,491 |
| Versions                               |       85 |     24,491 |
| WstETH                                 |    8,396 |     16,180 |
| WstEthOracleMiddleware                 |   16,329 |      8,247 |
| WstEthOracleMiddlewareWithRedstone     |   22,171 |      2,405 |
| Wusdn                                  |   11,236 |     13,340 |
| console                                |       85 |     24,491 |
| safeconsole                            |       85 |     24,491 |
| stdError                               |    2,701 |     21,875 |
| stdJson                                |       85 |     24,491 |
| stdMath                                |       85 |     24,491 |
| stdStorage                             |       85 |     24,491 |
| stdStorageSafe                         |       85 |     24,491 |
| stdToml                                |       85 |     24,491 |
| strings                                |       85 |     24,491 |

